id_parcela,region,variedad,superficie_ha,temp_promedio,humedad_suelo,ph_suelo,horas_sol,riego_mm,fertilizante_kg,densidad_plantas,rendimiento_kg_ha,calidad_cosecha
PARC-00233,La Libertad,Biloxi,3.75,22.1,48.9,6.1,7.8,603.0,267.0,3461.0,8499.0,Baja
PARC-00234,La Libertad,Ventura,10.17,22.7,43.7,5.53,8.7,726.0,244.0,3779.0,8999.0,Media
PARC-00235,Ica,Biloxi,10.42,24.6,45.6,6.02,6.9,591.0,183.0,3624.0,8195.0,Baja
PARC-00236,Lambayeque,Biloxi,11.78,20.7,48.7,5.93,7.2,625.0,304.0,3280.0,8998.0,Media
PARC-00237,La Libertad,Emerald,11.93,22.8,38.0,5.43,10.0,716.0,225.0,4176.0,8921.0,Media
PARC-00238,Lambayeque,Emerald,2.76,20.9,64.5,7.01,9.4,580.0,294.0,3878.0,8115.0,Baja
PARC-00239,La Libertad,Ventura,8.58,20.1,55.2,5.65,8.4,599.0,286.0,4192.0,9282.0,Alta
PARC-00240,Lambayeque,Emerald,4.73,20.5,57.9,5.14,8.7,504.0,157.0,4531.0,8768.0,Media
PARC-00241,La Libertad,Rocio,3.26,22.1,44.9,6.03,7.0,635.0,220.0,4112.0,8729.0,Media
PARC-00242,Lambayeque,Rocio,3.49,20.4,57.8,6.85,9.0,587.0,277.0,4156.0,8495.0,Baja
PARC-00243,Lambayeque,Emerald,11.36,20.2,61.6,5.44,8.9,591.0,199.0,4233.0,9844.0,Alta
PARC-00244,Lambayeque,Biloxi,8.84,21.7,37.6,5.63,9.2,733.0,204.0,3552.0,8527.0,Baja
PARC-00245,Lambayeque,Emerald,2.5,19.9,62.7,6.97,8.3,552.0,213.0,4209.0,8211.0,Baja
PARC-00246,La Libertad,Biloxi,11.84,22.5,43.7,6.13,7.0,634.0,186.0,3215.0,8911.0,Media
PARC-00247,Lambayeque,Biloxi,10.08,20.3,55.5,7.22,8.2,590.0,331.0,4469.0,7851.0,Baja
PARC-00248,La Libertad,Ventura,5.09,22.6,40.7,5.79,9.7,719.0,220.0,3753.0,8760.0,Media
PARC-00249,La Libertad,Ventura,6.71,21.9,41.2,5.53,10.4,756.0,229.0,3895.0,8836.0,Media
PARC-00250,Lambayeque,Biloxi,9.27,22.4,34.6,5.56,9.6,710.0,224.0,4030.0,8582.0,Media
PARC-00251,Lambayeque,Biloxi,8.76,20.5,53.1,6.63,8.6,531.0,243.0,4118.0,8139.0,Baja
PARC-00252,Ica,Rocio,6.63,21.7,,6.45,8.1,622.0,233.0,3749.0,8439.0,Baja
PARC-00253,La Libertad,Emerald,7.12,21.9,37.1,5.89,9.9,684.0,207.0,3774.0,8675.0,Media
PARC-00254,Ica,Emerald,2.43,19.8,58.5,5.22,8.0,539.0,202.0,3778.0,9252.0,Alta
PARC-00255,La Libertad,Biloxi,7.01,20.0,60.2,5.07,8.5,567.0,212.0,3812.0,8971.0,Media
PARC-00256,Lambayeque,Rocio,5.4,20.4,60.1,6.65,8.4,553.0,259.0,4659.0,8533.0,Baja
PARC-00257,Ica,Ventura,4.85,21.3,40.1,6.29,6.9,597.0,239.0,3612.0,8603.0,Media
PARC-00258,Lambayeque,Emerald,4.7,20.1,64.4,5.66,9.0,530.0,181.0,4217.0,9277.0,Alta
PARC-00259,Ica,Ventura,8.49,20.2,62.7,5.53,9.4,554.0,224.0,4318.0,9177.0,Alta
PARC-00260,Ica,Biloxi,6.29,22.5,,6.11,9.6,728.0,159.0,3679.0,8371.0,Baja
PARC-00261,La Libertad,Ventura,6.26,19.4,52.2,5.81,,478.0,179.0,4293.0,9259.0,Alta
PARC-00262,Ica,Biloxi,3.59,23.0,51.6,6.24,7.2,605.0,217.0,3501.0,8650.0,Media
PARC-00263,Ica,Rocio,11.62,19.8,57.8,5.78,8.5,516.0,206.0,4198.0,9280.0,Alta
PARC-00264,La Libertad,Ventura,4.24,20.4,63.9,5.54,9.3,539.0,202.0,4127.0,9129.0,Alta
PARC-00265,La Libertad,Rocio,6.06,24.3,48.8,,7.0,643.0,258.0,3742.0,7560.0,Baja
PARC-00266,La Libertad,Rocio,3.9,20.2,63.3,5.61,9.0,516.0,202.0,4093.0,8689.0,Media
PARC-00267,Ica,Biloxi,9.03,20.2,69.5,5.4,9.2,595.0,203.0,4684.0,9256.0,Alta
PARC-00268,Ica,Ventura,6.36,19.7,61.4,5.34,8.8,560.0,225.0,4180.0,9167.0,Alta
PARC-00269,Ica,Biloxi,6.14,21.0,59.6,5.43,10.4,567.0,178.0,3926.0,9050.0,Alta
PARC-00270,La Libertad,Biloxi,10.75,19.2,64.0,,9.1,547.0,222.0,3888.0,9044.0,Media
PARC-00271,La Libertad,Rocio,9.59,19.1,61.0,5.62,,516.0,220.0,3914.0,9146.0,Alta
PARC-00272,Lambayeque,Emerald,7.2,19.6,55.9,5.76,9.3,575.0,237.0,4803.0,9583.0,Alta
PARC-00273,La Libertad,Ventura,6.69,18.6,56.8,5.38,8.6,505.0,191.0,3796.0,9474.0,Alta
PARC-00274,La Libertad,Biloxi,11.6,23.5,41.7,4.72,,781.0,150.0,4180.0,7916.0,Baja
PARC-00275,La Libertad,Emerald,11.56,20.7,51.1,6.98,9.1,555.0,229.0,4640.0,8119.0,Baja
PARC-00276,La Libertad,Emerald,9.05,20.3,44.0,5.6,8.3,719.0,245.0,3891.0,9071.0,Alta
PARC-00277,La Libertad,Biloxi,9.6,20.3,60.2,5.6,9.3,575.0,189.0,4630.0,9569.0,Alta
PARC-00278,Lambayeque,Biloxi,10.99,23.0,38.2,5.23,9.9,773.0,244.0,3303.0,8700.0,Media
PARC-00279,La Libertad,Ventura,11.64,22.4,52.4,6.45,7.5,595.0,262.0,3324.0,8434.0,Baja
PARC-00280,La Libertad,Emerald,2.82,21.6,47.8,5.85,7.8,560.0,221.0,3497.0,9133.0,Alta
PARC-00281,Lambayeque,Rocio,11.97,20.2,52.0,,8.1,551.0,196.0,3983.0,9042.0,Media
PARC-00282,Ica,Ventura,9.03,21.6,62.4,5.65,8.5,508.0,201.0,4143.0,9502.0,Alta
PARC-00283,Lambayeque,Biloxi,7.93,18.5,59.2,5.5,8.9,516.0,184.0,4056.0,9156.0,Alta
PARC-00284,Lambayeque,Rocio,6.13,20.1,108.2,5.72,8.8,531.0,213.0,4253.0,9025.0,Media
PARC-00285,Lambayeque,Ventura,5.36,21.3,36.4,5.28,9.5,717.0,167.0,3994.0,9074.0,Alta
PARC-00286,Lambayeque,Emerald,10.04,23.0,37.6,5.57,8.5,686.0,210.0,3842.0,8968.0,Media
PARC-00287,Lambayeque,Biloxi,8.54,19.7,,5.7,9.7,625.0,174.0,4103.0,9197.0,Alta
PARC-00288,La Libertad,Biloxi,4.01,22.8,41.1,5.55,9.6,742.0,207.0,3879.0,9036.0,Media
PARC-00289,Lambayeque,Biloxi,8.1,22.4,37.2,5.7,9.2,716.0,211.0,3724.0,8671.0,Media
PARC-00290,La Libertad,Rocio,3.41,20.0,59.6,5.37,8.2,554.0,177.0,4121.0,9035.0,Media
PARC-00291,La Libertad,Biloxi,6.97,22.2,46.5,6.19,,581.0,212.0,3820.0,8819.0,Media
PARC-00292,La Libertad,Rocio,7.83,19.4,55.3,,9.1,574.0,266.0,4169.0,9019.0,Media
PARC-00293,La Libertad,Rocio,8.36,20.5,47.1,6.11,7.6,539.0,220.0,3524.0,9261.0,Alta
PARC-00294,La Libertad,Emerald,3.45,20.4,55.4,5.24,9.8,511.0,169.0,4090.0,9421.0,Alta
PARC-00295,Lambayeque,Rocio,2.96,23.1,49.4,5.96,7.1,637.0,199.0,3530.0,8165.0,Baja
PARC-00296,La Libertad,Rocio,4.59,22.2,46.3,6.74,7.2,619.0,212.0,3682.0,8121.0,Baja
PARC-00297,La Libertad,Emerald,8.07,22.9,45.5,6.19,6.9,552.0,266.0,3411.0,8187.0,Baja
PARC-00298,La Libertad,Rocio,11.32,20.3,55.6,6.04,7.3,669.0,231.0,3509.0,9172.0,Alta
PARC-00299,La Libertad,Emerald,9.79,19.6,60.8,6.94,9.1,632.0,282.0,4060.0,8949.0,Media
PARC-00300,Lambayeque,Biloxi,9.46,21.4,55.3,6.93,8.1,517.0,267.0,4292.0,8084.0,Baja
PARC-00301,La Libertad,Biloxi,5.3,19.1,60.1,,9.5,545.0,231.0,4219.0,8768.0,Media
PARC-00302,La Libertad,Ventura,3.12,19.9,56.1,5.44,9.6,516.0,158.0,4336.0,9352.0,Alta
PARC-00303,La Libertad,Ventura,10.92,22.2,37.8,5.27,9.7,710.0,235.0,3667.0,8929.0,Media
PARC-00304,La Libertad,Ventura,7.01,24.0,38.4,5.42,9.0,627.0,256.0,4143.0,8073.0,Baja
PARC-00305,La Libertad,Biloxi,3.01,21.2,41.0,6.17,7.6,613.0,221.0,3555.0,8617.0,Media
PARC-00306,La Libertad,Emerald,7.35,23.0,36.1,5.96,9.3,689.0,253.0,3965.0,8650.0,Media
PARC-00307,Lambayeque,Ventura,8.75,24.3,41.1,5.52,9.2,622.0,202.0,4086.0,7916.0,Baja
PARC-00308,Ica,Rocio,5.2,19.8,63.5,6.9,8.7,585.0,235.0,3878.0,8136.0,Baja
PARC-00309,Lambayeque,Rocio,2.09,20.4,57.3,5.18,8.6,548.0,235.0,3841.0,9537.0,Alta
PARC-00310,La Libertad,Emerald,8.22,19.9,62.9,5.02,9.5,500.0,210.0,4162.0,9271.0,Alta
PARC-00311,La Libertad,Rocio,2.4,23.0,40.1,5.4,9.6,743.0,223.0,3842.0,8603.0,Media
PARC-00312,Lambayeque,Ventura,6.33,21.9,43.7,4.97,9.7,808.0,165.0,3740.0,9348.0,Alta
PARC-00313,La Libertad,Rocio,10.25,20.9,62.4,5.02,8.6,556.0,194.0,4219.0,8583.0,Media
PARC-00314,Ica,Rocio,11.99,22.5,,5.81,9.7,706.0,234.0,3804.0,9203.0,Alta
PARC-00315,Lambayeque,Biloxi,5.7,25.0,40.7,5.64,8.6,677.0,244.0,3466.0,7185.0,Baja
PARC-00316,La Libertad,Emerald,2.2,20.6,62.6,5.46,8.0,531.0,212.0,3827.0,9289.0,Alta
PARC-00317,La Libertad,Ventura,6.93,20.8,40.1,5.87,9.5,686.0,154.0,3913.0,9010.0,Media
PARC-00318,Ica,Ventura,4.76,20.8,53.3,6.68,9.2,582.0,227.0,4045.0,8363.0,Baja
PARC-00319,Ica,Ventura,10.93,20.5,63.9,5.53,7.4,496.0,257.0,3963.0,9589.0,Alta
PARC-00320,Ica,Rocio,9.12,20.7,50.0,6.23,8.4,600.0,207.0,3537.0,9534.0,Alta
PARC-00321,La Libertad,Rocio,6.04,21.9,49.9,6.21,6.7,531.0,243.0,3896.0,8601.0,Media
PARC-00322,Lambayeque,Ventura,9.62,23.0,32.3,5.83,9.9,748.0,228.0,3963.0,8701.0,Media
PARC-00323,La Libertad,Ventura,5.41,18.4,65.3,5.5,9.6,562.0,214.0,4191.0,9179.0,Alta
PARC-00324,La Libertad,Emerald,7.22,22.9,43.7,5.24,8.7,669.0,206.0,3897.0,9147.0,Alta
PARC-00325,Lambayeque,Emerald,11.23,22.3,51.5,6.4,7.5,566.0,241.0,3852.0,7848.0,Baja
PARC-00326,Ica,Ventura,4.0,19.8,65.6,7.08,8.6,584.0,224.0,4032.0,8263.0,Baja
PARC-00327,La Libertad,Ventura,5.13,22.6,51.2,6.11,7.3,595.0,233.0,3842.0,8325.0,Baja
PARC-00328,La Libertad,Rocio,10.86,22.8,44.8,5.83,9.0,710.0,185.0,3753.0,7988.0,Baja
PARC-00329,La Libertad,Ventura,6.62,20.6,59.9,6.88,8.9,563.0,260.0,4126.0,8326.0,Baja
PARC-00330,La Libertad,Ventura,5.18,20.6,69.8,5.69,8.2,569.0,234.0,4401.0,9757.0,Alta
PARC-00331,La Libertad,Ventura,2.37,20.2,59.0,6.98,8.9,510.0,235.0,4300.0,8124.0,Baja
PARC-00332,Ica,Ventura,6.19,19.7,65.0,5.69,10.3,518.0,185.0,4023.0,9599.0,Alta
PARC-00333,La Libertad,Emerald,7.01,21.7,58.7,6.82,8.9,512.0,304.0,4247.0,8692.0,Media
PARC-00334,Lambayeque,Emerald,6.06,20.3,48.1,6.18,6.7,628.0,213.0,3461.0,8924.0,Media
PARC-00335,La Libertad,Biloxi,4.77,19.6,56.2,4.95,8.8,566.0,185.0,4584.0,9183.0,Alta
PARC-00336,La Libertad,Rocio,5.69,20.0,57.3,6.79,9.5,552.0,270.0,4343.0,8072.0,Baja
PARC-00337,La Libertad,Ventura,8.42,20.0,65.6,5.55,9.4,562.0,241.0,4114.0,9113.0,Alta
PARC-00338,La Libertad,Biloxi,10.91,19.9,58.8,6.95,8.0,571.0,264.0,4232.0,8575.0,Media
PARC-00339,Lambayeque,Emerald,8.5,20.4,61.6,5.44,9.2,644.0,192.0,4205.0,9334.0,Alta
PARC-00340,Lambayeque,Biloxi,8.46,23.7,52.3,6.31,7.6,593.0,295.0,3751.0,8077.0,Baja
PARC-00341,Ica,Rocio,10.17,21.0,64.9,5.5,7.8,572.0,133.0,4467.0,9200.0,Alta
PARC-00342,La Libertad,Rocio,3.65,21.6,42.0,6.31,7.4,540.0,248.0,3483.0,9349.0,Alta
PARC-00343,Lambayeque,Emerald,5.01,22.6,49.9,6.08,7.7,579.0,222.0,3417.0,8452.0,Baja
PARC-00344,Ica,Rocio,2.51,22.8,25.3,6.08,9.8,675.0,268.0,3713.0,9061.0,Alta
PARC-00345,La Libertad,Ventura,5.5,20.5,59.1,7.17,8.2,546.0,285.0,4320.0,8038.0,Baja
PARC-00346,Ica,Ventura,11.99,20.9,69.8,7.02,9.4,547.0,235.0,4121.0,8726.0,Media
PARC-00347,Ica,Emerald,5.29,23.1,46.8,6.47,8.3,569.0,147.0,3811.0,7770.0,Baja
PARC-00348,Ica,Ventura,10.6,20.1,64.3,5.32,8.2,561.0,199.0,3977.0,9298.0,Alta
PARC-00349,Lambayeque,Rocio,2.86,22.6,37.9,5.93,9.4,706.0,246.0,3946.0,8604.0,Media
PARC-00350,Lambayeque,Ventura,6.6,20.1,71.9,5.67,9.5,585.0,244.0,4052.0,9346.0,Alta
PARC-00351,La Libertad,Ventura,5.51,21.1,59.7,6.98,8.7,544.0,260.0,4381.0,8601.0,Media
PARC-00352,Lambayeque,Emerald,4.02,18.4,59.2,5.66,8.5,543.0,179.0,4476.0,9200.0,Alta
PARC-00353,Ica,Biloxi,5.73,22.5,44.8,6.11,9.7,705.0,215.0,4128.0,9092.0,Alta
PARC-00354,La Libertad,Emerald,8.51,22.0,38.8,5.29,8.9,678.0,208.0,4242.0,8743.0,Media
PARC-00355,Lambayeque,Rocio,6.9,22.9,36.1,,10.2,747.0,211.0,3689.0,8473.0,Baja
PARC-00356,Lambayeque,Rocio,10.44,23.4,35.7,5.68,10.7,709.0,187.0,3903.0,8529.0,Baja
PARC-00357,La Libertad,Biloxi,11.05,21.2,53.7,7.05,8.5,580.0,259.0,4591.0,8076.0,Baja
PARC-00358,Lambayeque,Biloxi,6.82,20.2,58.8,7.02,8.3,557.0,257.0,4072.0,8178.0,Baja
PARC-00359,Lambayeque,Biloxi,11.82,22.1,34.0,5.74,10.1,687.0,199.0,3560.0,8678.0,Media
PARC-00360,Lambayeque,Rocio,2.72,22.4,37.6,5.4,10.5,720.0,227.0,4021.0,9300.0,Alta
PARC-00361,Ica,Ventura,4.76,21.9,44.3,6.08,7.2,654.0,240.0,3871.0,8643.0,Media
PARC-00362,La Libertad,Biloxi,6.17,20.6,,5.62,9.0,558.0,164.0,3553.0,9706.0,Alta
PARC-00363,Ica,Emerald,7.83,20.1,61.4,5.74,9.8,616.0,170.0,4012.0,9341.0,Alta
PARC-00364,Lambayeque,Rocio,7.46,20.4,70.9,5.8,9.6,534.0,174.0,4297.0,9467.0,Alta
PARC-00365,Ica,Biloxi,7.68,20.1,62.8,6.78,9.1,573.0,223.0,4330.0,8745.0,Media
PARC-00366,La Libertad,Biloxi,10.96,23.1,,5.65,9.4,718.0,220.0,3704.0,8338.0,Baja
PARC-00367,La Libertad,Biloxi,4.78,19.4,60.7,6.8,8.8,506.0,269.0,4432.0,8630.0,Media
PARC-00368,Ica,Biloxi,10.17,19.9,55.4,6.99,9.0,458.0,325.0,4332.0,8886.0,Media
PARC-00369,La Libertad,Biloxi,7.58,19.1,59.0,5.48,9.8,535.0,127.0,4226.0,9388.0,Alta
PARC-00370,La Libertad,Biloxi,6.9,22.6,46.7,6.12,7.7,634.0,265.0,3485.0,8826.0,Media
PARC-00371,Lambayeque,Emerald,4.99,21.1,57.4,6.53,9.2,536.0,281.0,4145.0,8974.0,Media
PARC-00372,Lambayeque,Biloxi,5.04,19.4,60.2,5.48,8.9,583.0,154.0,3971.0,9381.0,Alta
PARC-00373,Ica,Emerald,5.88,21.4,40.6,5.56,8.5,721.0,239.0,4432.0,9143.0,Alta
PARC-00374,Lambayeque,Ventura,9.64,20.5,57.4,5.18,9.3,597.0,199.0,3610.0,9430.0,Alta
PARC-00375,Ica,Emerald,6.77,20.6,52.9,5.56,8.5,501.0,187.0,4054.0,9476.0,Alta
PARC-00376,La Libertad,Emerald,3.54,19.5,62.5,5.41,9.5,562.0,179.0,3884.0,8915.0,Media
PARC-00377,Lambayeque,Emerald,9.6,22.3,50.5,6.12,6.8,566.0,228.0,3716.0,8676.0,Media
PARC-00378,Ica,Rocio,8.63,22.2,37.7,5.38,9.6,708.0,186.0,3756.0,8893.0,Media
PARC-00379,Lambayeque,Biloxi,11.49,20.9,44.0,5.45,9.5,640.0,193.0,3730.0,9123.0,Alta
PARC-00380,La Libertad,Emerald,7.29,20.7,54.7,,8.2,654.0,332.0,4608.0,8497.0,Baja
PARC-00381,La Libertad,Ventura,8.54,22.5,42.1,5.89,9.9,740.0,253.0,3942.0,8597.0,Media
PARC-00382,Lambayeque,Emerald,6.79,23.2,42.2,6.08,7.2,633.0,219.0,3443.0,7869.0,Baja
PARC-00383,Lambayeque,Biloxi,8.81,21.5,57.6,7.13,8.7,495.0,310.0,4482.0,8174.0,Baja
PARC-00384,Lambayeque,Ventura,6.36,22.5,44.3,5.81,9.8,639.0,185.0,3731.0,8425.0,Baja
PARC-00385,Lambayeque,Rocio,3.38,23.1,39.9,5.83,10.2,750.0,246.0,3541.0,8021.0,Baja
PARC-00386,Ica,Rocio,11.87,21.1,50.1,6.17,,589.0,269.0,3299.0,9165.0,Alta
PARC-00387,La Libertad,Ventura,9.2,20.5,52.7,6.78,7.9,600.0,217.0,4272.0,8521.0,Baja
PARC-00388,Lambayeque,Biloxi,8.09,21.5,53.4,6.22,7.7,617.0,234.0,3463.0,8974.0,Media
PARC-00389,Lambayeque,Emerald,6.81,18.7,61.3,5.43,7.8,527.0,173.0,4494.0,8986.0,Media
PARC-00390,La Libertad,Ventura,9.11,22.9,53.0,6.42,6.8,655.0,224.0,3361.0,7798.0,Baja
PARC-00391,La Libertad,Ventura,3.27,19.8,51.9,6.95,8.6,595.0,227.0,4011.0,7972.0,Baja
PARC-00392,Lambayeque,Biloxi,5.26,18.6,53.8,5.72,9.7,519.0,181.0,4254.0,9110.0,Alta
PARC-00393,Ica,Ventura,3.25,22.9,37.4,5.27,9.4,756.0,224.0,4304.0,8285.0,Baja
PARC-00394,La Libertad,Biloxi,3.26,18.6,48.6,7.26,,564.0,240.0,4125.0,7898.0,Baja
PARC-00395,La Libertad,Biloxi,2.21,18.1,52.0,5.44,9.8,532.0,203.0,4383.0,8962.0,Media
PARC-00396,La Libertad,Emerald,9.56,22.6,50.5,5.64,9.5,646.0,243.0,3674.0,8881.0,Media
PARC-00397,Ica,Rocio,4.27,22.1,51.6,6.31,7.3,635.0,239.0,3407.0,8645.0,Media
PARC-00398,Lambayeque,Biloxi,10.32,21.7,57.5,5.5,9.9,486.0,231.0,3845.0,9287.0,Alta
PARC-00399,La Libertad,Biloxi,11.04,22.0,45.5,5.83,10.1,685.0,208.0,3785.0,9167.0,Alta
PARC-00400,Ica,Biloxi,3.69,23.1,46.7,5.67,10.5,738.0,203.0,4007.0,8571.0,Baja
PARC-00401,La Libertad,Emerald,9.09,20.1,59.0,5.31,8.5,562.0,230.0,4068.0,9324.0,Alta
PARC-00402,La Libertad,Rocio,6.6,21.6,49.8,6.18,6.7,636.0,221.0,3948.0,8824.0,Media
PARC-00403,La Libertad,Ventura,11.19,21.2,55.8,6.95,8.8,536.0,249.0,4273.0,7523.0,Baja
PARC-00404,Lambayeque,Biloxi,6.84,20.1,62.5,5.31,9.4,584.0,278.0,4006.0,9512.0,Alta
PARC-00405,Ica,Biloxi,5.79,21.1,47.2,6.06,6.9,580.0,288.0,3586.0,8978.0,Media
PARC-00406,La Libertad,Emerald,4.95,21.6,40.1,5.86,7.1,573.0,228.0,2982.0,9088.0,Alta
PARC-00407,Lambayeque,Ventura,11.04,19.6,63.3,5.66,8.7,533.0,216.0,3893.0,8886.0,Media
PARC-00408,Lambayeque,Ventura,4.26,22.1,52.4,6.52,6.4,566.0,209.0,3586.0,8258.0,Baja
PARC-00409,Ica,Biloxi,10.28,19.7,60.4,5.7,8.7,473.0,143.0,3785.0,8947.0,Media
PARC-00410,Ica,Rocio,3.94,21.2,55.2,6.21,7.3,667.0,235.0,3650.0,9098.0,Alta
PARC-00411,Lambayeque,Ventura,8.43,19.7,59.9,6.81,8.9,618.0,260.0,4430.0,8118.0,Baja
PARC-00412,La Libertad,Emerald,6.51,19.1,56.0,6.91,9.8,478.0,262.0,4564.0,8127.0,Baja
PARC-00413,La Libertad,Emerald,3.05,18.9,59.3,5.26,8.6,517.0,187.0,4431.0,9354.0,Alta
PARC-00414,Ica,Biloxi,3.26,21.6,42.1,6.08,8.5,627.0,243.0,3306.0,8720.0,Media
PARC-00415,Lambayeque,Biloxi,4.82,20.5,60.1,5.41,8.8,564.0,218.0,3873.0,9004.0,Media
PARC-00416,Lambayeque,Rocio,9.67,20.0,51.3,5.54,9.4,538.0,254.0,3880.0,9589.0,Alta
PARC-00417,Ica,Rocio,9.29,20.2,59.8,5.48,8.9,554.0,225.0,4444.0,9598.0,Alta
PARC-00418,Ica,Ventura,4.05,19.9,57.1,6.97,8.9,626.0,278.0,4532.0,8553.0,Baja
PARC-00419,Lambayeque,Biloxi,6.76,20.0,63.5,5.36,9.4,518.0,233.0,4653.0,9579.0,Alta
PARC-00420,Ica,Ventura,2.97,22.9,42.2,5.89,7.1,682.0,292.0,3437.0,8416.0,Baja
PARC-00421,La Libertad,Rocio,9.16,20.2,54.8,6.85,8.2,580.0,253.0,4032.0,8366.0,Baja
PARC-00422,Lambayeque,Emerald,9.93,19.9,50.6,,9.6,573.0,207.0,4352.0,9130.0,Alta
PARC-00423,Ica,Biloxi,10.94,20.4,65.2,5.68,9.8,565.0,227.0,4023.0,9376.0,Alta
PARC-00424,La Libertad,Emerald,10.86,19.5,67.3,5.54,9.4,555.0,182.0,4103.0,9148.0,Alta
PARC-00425,La Libertad,Biloxi,5.38,20.9,53.1,7.05,8.6,609.0,253.0,4358.0,7999.0,Baja
PARC-00426,Lambayeque,Ventura,4.55,21.7,40.9,6.22,7.5,633.0,262.0,3501.0,8928.0,Media
PARC-00427,Lambayeque,Ventura,10.97,21.1,62.4,5.16,8.9,625.0,194.0,3650.0,9516.0,Alta
PARC-00428,La Libertad,Ventura,3.46,22.6,45.0,6.31,7.1,619.0,246.0,3567.0,8500.0,Baja
PARC-00429,La Libertad,Emerald,2.59,21.5,112.0,5.49,8.8,595.0,184.0,4387.0,9677.0,Alta
PARC-00430,La Libertad,Biloxi,5.14,22.8,41.2,5.99,7.3,539.0,223.0,3456.0,8278.0,Baja
PARC-00431,La Libertad,Rocio,9.6,23.2,48.6,6.41,7.6,578.0,239.0,3732.0,7540.0,Baja
PARC-00432,Ica,Emerald,8.94,20.6,61.2,6.92,7.9,602.0,262.0,4397.0,8528.0,Baja
PARC-00433,Lambayeque,Ventura,11.87,21.1,54.7,6.72,9.1,547.0,293.0,4155.0,8337.0,Baja
PARC-00434,Lambayeque,Rocio,5.6,23.2,47.4,5.87,6.5,586.0,165.0,3999.0,8292.0,Baja
PARC-00435,La Libertad,Ventura,4.76,20.4,61.1,5.53,8.9,594.0,174.0,3695.0,8767.0,Media
PARC-00436,La Libertad,Ventura,5.78,20.5,62.7,5.6,9.2,537.0,224.0,4089.0,9034.0,Media
PARC-00437,La Libertad,Biloxi,9.82,19.6,58.7,5.9,8.1,571.0,150.0,4073.0,8727.0,Media
PARC-00438,Ica,Rocio,4.14,23.9,48.6,5.84,9.5,691.0,227.0,4218.0,8090.0,Baja
PARC-00439,Ica,Rocio,11.48,21.3,59.8,6.96,8.6,570.0,301.0,4186.0,8100.0,Baja
PARC-00440,La Libertad,Biloxi,7.13,20.9,58.2,6.92,9.7,610.0,267.0,4254.0,8410.0,Baja
PARC-00441,Ica,Rocio,9.83,22.7,45.3,5.98,7.9,553.0,204.0,3359.0,8979.0,Media
PARC-00442,La Libertad,Rocio,10.27,19.7,51.0,5.58,8.8,462.0,225.0,4459.0,9473.0,Alta
PARC-00443,La Libertad,Ventura,6.79,19.9,57.3,6.96,9.2,591.0,232.0,4444.0,7878.0,Baja
PARC-00444,Lambayeque,Rocio,9.41,21.2,61.5,5.51,9.7,621.0,234.0,3865.0,9440.0,Alta
PARC-00445,La Libertad,Emerald,5.65,20.2,61.9,5.14,9.2,645.0,219.0,4468.0,9302.0,Alta
PARC-00446,Ica,Emerald,10.11,20.4,53.8,7.17,9.6,571.0,286.0,4392.0,8042.0,Baja
PARC-00447,La Libertad,Biloxi,10.24,22.3,50.7,6.44,7.9,600.0,266.0,3382.0,8458.0,Baja
PARC-00448,Lambayeque,Biloxi,7.66,21.6,61.1,6.63,9.8,605.0,250.0,3943.0,8667.0,Media
PARC-00449,La Libertad,Emerald,4.18,20.1,59.7,5.58,8.6,510.0,238.0,4443.0,9082.0,Alta
PARC-00450,La Libertad,Ventura,11.7,20.9,56.8,6.97,9.2,536.0,232.0,4296.0,8243.0,Baja
PARC-00451,La Libertad,Rocio,11.47,19.2,64.2,5.48,9.2,569.0,230.0,4121.0,9629.0,Alta
PARC-00452,Ica,Biloxi,8.2,20.7,45.1,6.04,7.1,560.0,221.0,3705.0,8779.0,Media
PARC-00453,Lambayeque,Rocio,11.84,20.1,58.6,6.63,8.7,590.0,283.0,4003.0,8411.0,Baja
PARC-00454,Lambayeque,Emerald,7.03,21.1,61.3,5.62,8.6,641.0,214.0,4278.0,9175.0,Alta
PARC-00455,La Libertad,Rocio,5.75,18.7,56.5,11.1,9.1,470.0,231.0,3964.0,8836.0,Media
PARC-00456,La Libertad,Rocio,6.61,21.1,59.6,5.54,9.6,512.0,170.0,4051.0,8749.0,Media
PARC-00457,La Libertad,Rocio,2.46,23.6,40.6,5.94,7.0,632.0,229.0,3369.0,8056.0,Baja
PARC-00458,Ica,Ventura,7.49,22.8,42.0,5.61,9.3,693.0,214.0,4230.0,9147.0,Alta
PARC-00459,La Libertad,Emerald,8.66,19.6,58.1,7.01,9.0,538.0,274.0,4576.0,8261.0,Baja
PARC-00460,La Libertad,Biloxi,3.1,20.7,51.0,6.94,9.9,506.0,266.0,4143.0,8433.0,Baja
PARC-00461,Lambayeque,Ventura,4.56,22.3,40.2,5.43,9.9,757.0,259.0,3851.0,8299.0,Baja
PARC-00462,Lambayeque,Ventura,9.21,20.7,54.3,5.17,9.4,525.0,188.0,3636.0,9379.0,Alta
PARC-00463,La Libertad,Ventura,9.94,22.8,52.1,6.2,7.0,611.0,228.0,3490.0,8446.0,Baja
PARC-00464,La Libertad,Emerald,11.86,19.5,60.0,5.69,8.6,620.0,179.0,3929.0,9060.0,Alta
PARC-00465,La Libertad,Biloxi,4.53,23.0,39.3,5.71,9.7,702.0,214.0,3913.0,8720.0,Media
